method,berlin1_potsdamer_platz,berlin2_gendarmenmarkt,frankfurt1_maintower,frankfurt2_westendtower
ekf,1.0403887971643497,0.8099376605269717,0.8787266146593822,0.6147964926393404
dnn_e2e,1.044205039840692,0.8217802325769695,0.8876424967820825,0.6242832468491537
gat_e2e,1.044205039840692,0.8217802325769695,0.8876424967820825,0.6242832468491537
ins_gnss,1.044205039840692,0.8217802325769695,0.8876424967820825,0.6242832468491537
raim,1.044205039840692,0.8217802325769695,0.8876424967820825,0.6242832468491537
standard_ls,1.044205039840692,0.8217802325769695,0.8876424967820825,0.6242832468491537
irls,1.0444148777156872,0.8481148764981392,0.9122211125785947,0.6242832468499787
cno_weighted,1.0362599790390965,0.8402382381417569,0.9459498635819565,0.637546057349746
wls_elevation,1.0649434317670377,0.9721628956921834,1.062740875452199,0.6842090217345171
factor_graph,1.0812531758877284,0.8749717977266144,1.0732300342985184,0.8536544032387849
wls_mog,1.118108945969232,1.1054629553384263,1.4724701529937063,0.8026780249766566
snr_weighted,1.0587387589506863,1.097723511630496,1.7315978981261984,0.7628844609164506
hard_threshold,1.633690538859851,1.332935326841607,1.9468019354544694,1.0062019746987825
